age_of_customer,sex,ctry,town,swimming_hours_per_week,biking_hours_per_week,running_hours_per_week,total_training_hours_per_week,vo2_max,10k_running_time_prediction,calories_burned_per_week,support_cases_of_customer,customer_years,most_current_software_update,goal_of_training,preferred_training_daytime,subscription_type,color_of_watch,synchronisation,user_of_latest_model
61.0,Other,UK,Birmingham,2.52,0.1,1.78,4.4,23.08,60.72,2329.95,2.0,1.0,163.0,Fitness,Evening,Free,White,Yes,1.0
57.0,Other,Australia,Sydney,1.55,10.01,4.57,16.13,39.04,54.37,7904.93,2.0,1.0,235.0,Fitness,Evening,Premium,Black,Yes,0.0
30.0,Other,India,Bangalore,1.19,12.04,8.64,21.87,71.59,33.92,10839.81,2.0,0.0,138.0,Competition,Afternoon,Free,White,Yes,1.0
21.0,Male,Germany,Munich,2.25,4.67,0.92,7.84,49.09,44.97,5487.534848800834,3.0,0.0,143.0,Recreation,Evening,Premium,Black,No,1.0
63.0,Male,India,Mumbai,0.8,5.88,0.67,7.35,24.184988482623126,62.46,3575.96,3.0,3.0,44.0,Recreation,Morning,Basic,Black,Yes,0.0
31.0,Other,India,Mumbai,1.01,6.74,0.56,8.3,62.33,40.67,4127.6,2.0,7.0,132.0,Recreation,Morning,Basic,Black,Yes,0.0
30.0,Female,UK,Berlin,0.84,4.06,4.23,9.12,62.56108071335886,36.56,4835.71,4.0,3.0,333.0,Recreation,Afternoon,Free,Black,Yes,0.0
44.0,Other,India,Bangalore,1.95,6.39,2.19,10.54,47.74,45.32,5156.95,3.0,2.0,51.0,Recreation,Afternoon,Basic,Black,Yes,0.0
23.0,Other,USA,New York,0.0,3.04,3.89,6.93,59.19,38.4,3705.74,2.0,1.0,181.0,Recreation,Evening,Free,Black,Yes,0.0
34.0,Other,UK,Birmingham,0.93,6.71,2.07,9.71,59.88,43.36,4692.4,0.0,3.0,254.0,Recreation,Afternoon,Free,White,Yes,0.0
53.0,Other,USA,Chicago,1.91,5.79,1.25,8.94,42.86,55.5,4286.93,4.0,4.0,218.0,Recreation,Afternoon,Basic,Black,Yes,0.0
57.0,Male,Germayn,Hamburg,4.25,4.37,4.66,13.28,33.43,51.46,6652.83,1.0,0.0,222.0,Competition,Morning,Free,Black,No,0.0
52.0,Other,UK,London,1.5,5.47,3.07,10.04,44.83,49.33,5121.63,2.0,0.0,296.0,Recreation,Afternoon,Basic,White,Yes,0.0
34.0,Female,Germayn,Hamburg,2.09,9.33,7.69,19.12,69.61,35.07,9285.67,2.0,2.0,8.0,Competition,Afternoon,Premium,Black,No,1.0
58.0,Male,UK,Manchester,4.62,2.62,2.81,10.05,30.05,58.49,4858.71,4.0,5.0,147.0,Fitness,Morning,Premium,Black,Yes,0.0
19.0,Female,Australia,Sydney,1.2,3.74,2.4,7.34,53.95,45.92,3644.36,3.0,1.0,229.0,Recreation,Morning,Free,Black,Yes,0.0
30.0,Female,India,Mumbai,2.88,3.64,2.28,8.8,57.04,38.31,4296.88,3.0,1.0,292.0,Fitness,Evening,Basic,Black,Yes,1.0
19.0,Female,Australia,Sydney,3.79,2.16,1.39,7.35,60.0,42.57,3802.44,3.0,1.0,157.0,Fitness,Afternoon,Basic,Black,Yes,1.0
45.0,Female,Germany,Berlin,2.76,7.08,2.43,12.28,53.24,46.14,6144.64,1.0,6.0,131.0,Fitness,Morning,Premium,Black,Yes,0.0
60.0,Male,India,Berlin,1.48,10.88,0.42,12.78,25.66,61.16,6184.35,4.0,0.0,418.0,Competition,Evening,Premium,Black,Yes,0.0
