age_of_customer,swimming_hours_per_week,biking_hours_per_week,running_hours_per_week,total_training_hours_per_week,vo2_max,10k_running_time_prediction,calories_burned_per_week,support_cases_of_customer,customer_years,most_current_software_update,synchronisation,user_of_latest_model,hot_enc__Male,hot_enc__Other,hot_enc__Germany,hot_enc__India,hot_enc__UK,hot_enc__USA,hot_enc__UnknownLand,hot_enc__Berlin,hot_enc__Birmingham,hot_enc__Brisbane,hot_enc__Chicago,hot_enc__Delhi,hot_enc__Hamburg,hot_enc__London,hot_enc__Los Angeles,hot_enc__Manchester,hot_enc__Melbourne,hot_enc__Mumbai,hot_enc__Munich,hot_enc__New York,hot_enc__Sydney,hot_enc__Fitness,hot_enc__Recreation,hot_enc__Evening,hot_enc__Morning,hot_enc__Free,hot_enc__Premium,hot_enc__White
61.0,2.52,0.1,1.78,4.4,23.08,60.72,2329.95,2.0,1.0,2024-07-22,1.0,1.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
57.0,1.55,10.01,4.57,16.13,39.04,54.37,7904.93,2.0,1.0,2024-05-11,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
30.0,1.19,12.04,8.64,21.87,71.59,33.92,10839.81,2.0,0.0,2024-08-16,1.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
63.0,0.8,5.88,0.67,7.35,13.91,62.46,3575.96,3.0,3.0,2024-11-18,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
31.0,1.01,6.74,0.56,8.3,62.33,40.67,4127.6,2.0,7.0,2024-08-22,1.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
44.0,1.95,6.39,2.19,10.54,47.74,45.32,5156.95,3.0,2.0,2024-11-11,1.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23.0,0.0,3.04,3.89,6.93,59.19,38.4,3705.74,2.0,1.0,2024-07-04,1.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
34.0,0.93,6.71,2.07,9.71,59.88,43.36,4692.4,0.0,3.0,2024-04-22,1.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
53.0,1.91,5.79,1.25,8.94,42.86,55.5,4286.93,4.0,4.0,2024-05-28,1.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57.0,4.25,4.37,4.66,13.28,33.43,51.46,6652.83,1.0,0.0,2024-05-24,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
52.0,1.5,5.47,3.07,10.04,44.83,49.33,5121.63,2.0,0.0,2024-03-11,1.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34.0,2.09,9.33,7.69,19.12,69.61,35.07,9285.67,2.0,2.0,2024-12-24,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58.0,4.62,2.62,2.81,10.05,30.05,58.49,4858.71,4.0,5.0,2024-08-07,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
19.0,1.2,3.74,2.4,7.34,53.95,45.92,3644.36,3.0,1.0,2024-05-17,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
30.0,2.88,3.64,2.28,8.8,57.04,38.31,4296.88,3.0,1.0,2024-03-15,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
19.0,3.79,2.16,1.39,7.35,60.0,42.57,3802.44,3.0,1.0,2024-07-28,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
45.0,2.76,7.08,2.43,12.28,53.24,46.14,6144.64,1.0,6.0,2024-08-23,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
43.0,1.06,8.36,2.93,12.35,53.17,40.78,6411.07,4.0,6.0,2024-08-18,1.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
39.0,2.34,7.11,0.0,9.45,57.4,44.74,4600.48,3.0,3.0,2024-10-23,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
64.0,0.8,3.56,1.56,5.92,17.31,67.06,3098.77,3.0,2.0,2023-11-30,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
60.0,1.72,3.61,3.23,8.57,21.01,56.37,4450.53,0.0,5.0,2024-11-04,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
20.0,1.85,6.76,0.6,9.21,62.88,46.79,4881.08,0.0,1.0,2024-01-25,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
52.0,1.63,8.7,3.33,13.66,46.27,45.94,6828.6,2.0,7.0,2024-08-26,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
29.0,5.78,3.98,4.71,14.46,65.33,39.11,7301.55,2.0,3.0,2024-01-27,1.0,1.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
41.0,1.71,5.54,2.45,9.69,55.26,43.73,4746.31,4.0,5.0,2024-02-23,1.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
37.0,2.26,6.21,1.15,9.61,57.68,44.24,4782.92,1.0,8.0,2023-11-21,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
56.0,1.82,4.52,7.25,13.6,37.94,51.15,7012.18,0.0,5.0,2024-02-10,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
30.0,0.95,13.83,7.87,22.65,72.54,31.81,11056.99,2.0,7.0,2024-01-07,1.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
58.0,1.67,5.85,1.97,9.5,29.33,57.92,4979.85,0.0,8.0,2024-07-19,1.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
62.0,2.2,0.1,2.65,4.94,19.41,62.45,2683.43,0.0,3.0,2023-11-18,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
29.0,1.75,9.75,5.07,16.56,62.18,36.79,8286.01,2.0,10.0,2023-12-30,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
30.0,0.15,4.56,1.89,6.6,62.32,44.13,3294.5,1.0,5.0,2023-10-12,1.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
27.0,3.83,3.38,4.33,11.54,58.06,35.56,5688.65,2.0,6.0,2024-05-07,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
50.0,3.1,9.43,3.37,15.89,48.68,45.15,8242.82,3.0,0.0,2024-05-28,1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
57.0,0.0,1.59,5.68,7.27,30.16,52.68,3400.1,3.0,7.0,2024-09-27,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
33.0,0.15,4.85,3.86,8.87,57.85,37.61,4488.7,3.0,8.0,2024-08-10,1.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
62.0,1.63,9.36,5.41,16.4,29.84,59.23,8311.4,4.0,1.0,2024-06-07,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
52.0,0.0,0.96,4.46,5.42,37.85,50.02,2972.94,1.0,1.0,2024-03-08,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
22.0,1.15,0.59,0.02,1.77,48.84,47.79,969.23,4.0,0.0,2024-02-06,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
43.0,1.91,2.48,4.12,8.5,53.59,42.27,4018.76,0.0,6.0,2024-03-06,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
28.0,1.54,5.3,0.96,7.8,55.68,42.91,3823.61,3.0,2.0,2024-10-06,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
27.0,4.7,9.54,6.43,20.67,67.84,33.81,10563.49,0.0,6.0,2024-10-04,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
59.0,0.73,6.24,4.62,11.6,29.81,52.71,5948.93,2.0,0.0,2024-12-24,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
51.0,0.72,5.71,3.27,9.71,48.19,49.75,5008.88,2.0,5.0,2024-05-30,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
25.0,3.85,8.97,0.0,12.82,63.66,41.74,6413.29,4.0,2.0,2024-09-26,1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
48.0,1.07,5.63,3.09,9.8,45.34,46.24,4688.94,1.0,5.0,2024-02-07,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
28.0,1.87,6.76,3.17,11.8,61.93,37.81,5797.38,2.0,7.0,2024-02-23,1.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
62.0,4.37,10.9,4.99,20.27,25.6,58.98,9917.26,0.0,2.0,2024-11-17,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
24.0,1.84,5.99,2.1,9.94,56.5,38.95,5103.33,1.0,0.0,2024-11-19,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
63.0,0.0,5.0,2.8,7.8,20.49,63.31,3694.24,3.0,1.0,2024-08-26,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
62.0,0.0,5.0,2.8,7.8,20.49,63.31,3694.24,3.0,1.0,2024-08-26,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
