most_current_software_update,synchronisation,user_of_latest_model,age_of_customer_transformed,swimming_hours_per_week_transformed,biking_hours_per_week_transformed,running_hours_per_week_transformed,total_training_hours_per_week_transformed,vo2_max_transformed,10k_running_time_prediction_transformed,calories_burned_per_week_transformed,support_cases_of_customer_transformed,customer_years_transformed,hot_enc__Male,hot_enc__Other,hot_enc__Germany,hot_enc__India,hot_enc__UK,hot_enc__USA,hot_enc__UnknownLand,hot_enc__Berlin,hot_enc__Birmingham,hot_enc__Brisbane,hot_enc__Chicago,hot_enc__Delhi,hot_enc__Hamburg,hot_enc__London,hot_enc__Los Angeles,hot_enc__Manchester,hot_enc__Melbourne,hot_enc__Mumbai,hot_enc__Munich,hot_enc__New York,hot_enc__Sydney,hot_enc__Fitness,hot_enc__Recreation,hot_enc__Evening,hot_enc__Morning,hot_enc__Free,hot_enc__Premium,hot_enc__White
2024-07-22,1.0,1.0,1.5010859460440247,0.3085942944032199,-1.8585462447662562,-0.6072847277390152,-1.5258293210805283,-1.7212131143398348,1.8468486827993424,-1.4238415130676878,0.041789297816453665,-0.7835003753897741,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
2024-05-11,1.0,0.0,1.0364333894937898,-0.3146826603024133,1.1872454802284187,0.696099369380601,1.049295783609191,-0.8389244950836746,1.069322453743531,1.0063836763143434,0.041789297816453665,-0.7835003753897741,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
2024-08-16,1.0,1.0,-0.6229257232100878,-0.5312607573635746,1.8205355064188722,2.444257439944196,1.983450028814653,1.975487154901591,-1.87897047218175,1.9763967022009443,0.041789297816453665,-5.199337582605575,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-11,0.0,1.0,-1.3829941271006383,0.16422755207170228,-0.14959173494807798,-1.1107716166367858,-0.5508981875030222,-0.36398774770231324,0.18528654372342868,0.0,0.5729675484954635,-5.199337582605575,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
2024-11-18,1.0,0.0,1.8339146358159146,-0.8195021075682538,0.23398843880625825,-1.284930510364737,-0.6901941494632754,0.0,2.0804816509599284,-0.7354675433145663,0.5729675484954635,-0.08365173390712909,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2024-08-22,1.0,0.0,-0.5729675484954635,-0.6624352675665187,0.434408294026353,-1.340078638145339,-0.427986180468845,0.9905119782352011,-0.6002875617399747,-0.4826524092435882,0.041789297816453665,0.9027347916438648,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
2024-02-03,1.0,0.0,-0.6229257232100878,-0.790618467861369,-0.30723404794189424,0.5392076393250991,-0.2528954052897606,0.0,-1.3897276652038753,-0.14058173877726005,5.19933758270342,-0.08365173390712909,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2024-11-11,1.0,0.0,0.16789400478810546,-0.024902854560931113,0.3671279972699203,-0.3703642448067597,0.0760316231203884,-0.43912835610796824,0.2334002181697282,0.02381828431564374,0.5729675484954635,-0.38532046640756773,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-07-04,1.0,0.0,-1.1107716166367858,-5.199337582605575,-0.6109087644001246,0.3995721346952018,-0.7980347934750814,0.5911666334787256,-1.0334690406336042,-0.6735596959491583,0.041789297816453665,-0.7835003753897741,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
2024-04-22,1.0,0.0,-0.38532046640756773,-0.7279132908816442,0.4275396470768855,-0.43072729929545756,-0.11073315092828753,0.6791364799312802,-0.0994207190931434,-0.2073102273135967,-5.199337582605575,-0.08365173390712909,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2024-05-28,1.0,0.0,0.7279132908816441,-0.05813338231249668,0.20604037750223503,-0.8924086936039166,-0.29338123212119327,-0.6782705477632776,1.173487974406398,-0.403502294076584,5.19933758270342,0.16789400478810546,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-05-24,0.0,0.0,1.0364333894937898,1.3020713790317417,-0.2242785160064871,0.7408432620967453,0.569546501946331,-1.1228612839562149,0.8020191655308364,0.5844994551989277,-0.47704042848944356,-5.199337582605575,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2024-03-11,1.0,0.0,0.6229257232100877,-0.34837763508259184,0.1226350251910156,0.09941749313749712,-0.02532218341334658,-0.5703461224214137,0.6379982206824268,-0.0013878222744827993,0.041789297816453665,-5.199337582605575,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2024-12-24,0.0,1.0,-0.38532046640756773,0.07075877341545107,1.033570623611454,1.9086995775177846,1.4853898680373125,1.8890958760147951,-1.6801525866618594,1.4263325955538892,0.041789297816453665,-0.38532046640756773,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
