synchronisation,user_of_latest_model,age_of_customer_transformed,swimming_hours_per_week_transformed,biking_hours_per_week_transformed,running_hours_per_week_transformed,vo2_max_transformed,10k_running_time_prediction_transformed,support_cases_of_customer_transformed,customer_years_transformed,hot_enc__Male,hot_enc__Other,hot_enc__UnknownLand,hot_enc__Delhi,hot_enc__Mumbai,hot_enc__Fitness,hot_enc__Recreation,hot_enc__Evening,hot_enc__Morning,hot_enc__Free,hot_enc__Premium,hot_enc__White,most_current_software_update_month,most_current_software_update_day
1.0,1.0,1.5010859460440247,0.3085942944032199,-1.8585462447662562,-0.6072847277390152,-1.7212131143398348,1.8468486827993424,0.041789297816453665,-0.7835003753897741,0,1,0,0,0,1,0,1,0,1,0,1,7,22
1.0,0.0,1.0364333894937898,-0.3146826603024133,1.1872454802284187,0.696099369380601,-0.8389244950836746,1.069322453743531,0.041789297816453665,-0.7835003753897741,0,1,0,0,0,1,0,1,0,0,1,0,5,11
1.0,1.0,-0.6229257232100878,-0.5312607573635746,1.8205355064188722,2.444257439944196,1.975487154901591,-1.87897047218175,0.041789297816453665,-5.199337582605575,0,1,0,0,0,0,0,0,0,1,0,1,8,16
0.0,1.0,-1.3829941271006383,0.16422755207170228,-0.14959173494807798,-1.1107716166367858,-0.36398774770231324,0.18528654372342868,0.5729675484954635,-5.199337582605575,1,0,0,0,0,0,1,1,0,0,1,0,8,11
1.0,0.0,1.8339146358159146,-0.8195021075682538,0.23398843880625825,-1.284930510364737,0.0,2.0804816509599284,0.5729675484954635,-0.08365173390712909,1,0,0,0,1,0,1,0,1,0,0,0,11,18
1.0,0.0,-0.5729675484954635,-0.6624352675665187,0.434408294026353,-1.340078638145339,0.9905119782352011,-0.6002875617399747,0.041789297816453665,0.9027347916438648,0,1,0,0,1,0,1,0,1,0,0,0,8,22
1.0,0.0,-0.6229257232100878,-0.790618467861369,-0.30723404794189424,0.5392076393250991,0.0,-1.3897276652038753,5.19933758270342,-0.08365173390712909,0,0,0,0,0,0,1,0,0,1,0,0,2,3
1.0,0.0,0.16789400478810546,-0.024902854560931113,0.3671279972699203,-0.3703642448067597,-0.43912835610796824,0.2334002181697282,0.5729675484954635,-0.38532046640756773,0,1,0,0,0,0,1,0,0,0,0,0,11,11
1.0,0.0,-1.1107716166367858,-5.199337582605575,-0.6109087644001246,0.3995721346952018,0.5911666334787256,-1.0334690406336042,0.041789297816453665,-0.7835003753897741,0,1,0,0,0,0,1,1,0,1,0,0,7,4
1.0,0.0,-0.38532046640756773,-0.7279132908816442,0.4275396470768855,-0.43072729929545756,0.6791364799312802,-0.0994207190931434,-5.199337582605575,-0.08365173390712909,0,1,0,0,0,0,1,0,0,1,0,1,4,22
1.0,0.0,0.7279132908816441,-0.05813338231249668,0.20604037750223503,-0.8924086936039166,-0.6782705477632776,1.173487974406398,5.19933758270342,0.16789400478810546,0,1,0,0,0,0,1,0,0,0,0,0,5,28
0.0,0.0,1.0364333894937898,1.3020713790317417,-0.2242785160064871,0.7408432620967453,-1.1228612839562149,0.8020191655308364,-0.47704042848944356,-5.199337582605575,1,0,0,0,0,0,0,0,1,1,0,0,5,24
1.0,0.0,0.6229257232100877,-0.34837763508259184,0.1226350251910156,0.09941749313749712,-0.5703461224214137,0.6379982206824268,0.041789297816453665,-5.199337582605575,0,1,0,0,0,0,1,0,0,0,0,1,3,11
0.0,1.0,-0.38532046640756773,0.07075877341545107,1.033570623611454,1.9086995775177846,1.8890958760147951,-1.6801525866618594,0.041789297816453665,-0.38532046640756773,0,0,0,0,0,0,0,0,0,0,1,0,12,24
1.0,0.0,1.1107716166367858,1.4708782642481828,-0.7441224753299046,-0.059717099785322754,-1.270917179241783,1.5167415608622863,5.19933758270342,0.3853204664075674,1,0,0,0,0,1,0,0,1,0,1,0,8,7
1.0,0.0,-1.8339146358159146,-0.5244005127080409,-0.40196282325627913,-0.25246530146929236,0.03500143879087167,0.30653855267561325,0.5729675484954635,-0.7835003753897741,0,0,0,0,0,0,1,0,1,1,0,0,5,17
1.0,1.0,-0.6229257232100878,0.5249960723298196,-0.43294543151469894,-0.3227998232847218,0.33910417950362687,-1.0489612504595827,0.5729675484954635,-0.7835003753897741,0,0,0,0,1,1,0,1,0,0,0,0,3,15
1.0,1.0,-1.8339146358159146,1.0672699522071936,-0.8951958691040597,-0.8095316448685379,0.6951810121422789,-0.2277603121470913,0.5729675484954635,-0.7835003753897741,0,0,0,0,0,1,0,0,0,0,0,0,7,28
1.0,0.0,0.23899287047892498,0.45390781537774727,0.5294277845601532,-0.23926139804865518,-0.026650823533282318,0.332505178613026,-0.47704042848944356,0.6229257232100877,0,0,0,0,0,1,0,0,1,0,1,0,8,23
1.0,0.0,1.3829941271006387,-0.3608803214388432,1.4384776446093483,-1.4167667254909677,-1.5660723796205203,1.8966909656801132,5.19933758270342,-5.199337582605575,1,0,0,0,0,0,0,1,0,0,1,0,11,10
1.0,1.0,0.08365173390712909,-0.6229257232100878,0.8207920883323803,0.013849217700468635,-0.032769391330007946,-0.5798030497970296,5.19933758270342,0.6229257232100877,1,0,0,0,0,1,0,1,0,0,0,1,8,18
1.0,0.0,-0.12566134685507402,0.2167857906762349,0.536632924218071,-5.199337582605575,0.37936297020371623,0.15493558356177944,0.5729675484954635,-0.08365173390712909,0,0,0,0,0,1,0,0,0,1,0,0,10,23
1.0,0.0,5.19933758270342,-0.8195021075682538,-0.4597337015564347,-0.722326157396827,-2.3480678212475112,0.0,0.5729675484954635,-0.38532046640756773,0,0,0,0,0,1,0,0,0,0,1,0,11,30
1.0,0.0,1.3829941271006387,-0.1910520061461741,-0.44295363069173854,0.1638472679260492,-1.8794250572222513,1.2752902390175747,-5.199337582605575,0.3853204664075674,1,0,0,0,0,0,1,1,0,1,0,0,11,4
1.0,1.0,-1.5010859460440247,-0.10268489990271995,0.43994086189551074,-1.3195591520521455,1.0691297993432147,0.3947490553169253,-5.199337582605575,-0.7835003753897741,1,0,0,0,0,0,1,0,1,1,0,0,1,25
0.0,0.0,0.6229257232100877,-0.2601111105071604,0.8994979110922048,0.21577047124161242,-0.4969914985363325,0.30889037101253813,0.041789297816453665,0.9027347916438648,1,0,0,0,0,0,0,1,0,0,1,0,8,26
1.0,1.0,-0.6744897501960817,2.0881799060072392,-0.3299438213252124,0.7573202964267488,1.4689078020807944,-0.9131075425444645,0.041789297816453665,-0.08365173390712909,0,1,0,0,0,0,0,0,0,1,0,1,1,27
1.0,0.0,0.0,-0.19879354901349772,0.13873790462133098,-0.23048205508756545,0.15162636005942812,-0.02166954710036352,5.19933758270342,0.3853204664075674,0,1,0,0,0,0,1,0,1,1,0,0,2,23
1.0,1.0,-1.2815515655446004,0.8489763933429505,1.5903024102179404,0.8718107966070956,1.4646933973495226,-1.4713972237485344,5.19933758270342,-0.7835003753897741,0,1,0,0,0,0,0,0,1,0,0,0,9,13
1.0,0.0,-0.2104283942479247,0.17002743807782164,0.3298033872356782,-0.9593324273568413,0.41119655844767095,0.09215625946001534,-0.47704042848944356,1.2815515655446004,0,0,0,0,0,0,1,1,0,1,0,0,11,21
1.0,0.0,0.9674215661017012,-0.3734396775981019,1.6173606059052965,1.397433816008838,-0.5098042997727584,0.6987982865282484,-0.47704042848944356,-0.08365173390712909,0,1,0,0,1,1,0,0,0,0,0,0,12,30
