,Model_Name,val_f1_score,val_accuracy,test_f1_score,test_accuracy,features_selection,model,model_order
0,LogisticRegression feat: all,73.3,78.1,68.4,76.4,all,LogisticRegression,1
0,LogisticRegression feat: mdi,72.8,78.1,66.7,74.6,mdi,LogisticRegression,1
0,LogisticRegression feat: mda,71.0,77.6,66.3,74.4,mda,LogisticRegression,1
0,LogisticRegression feat: mutual_info,68.9,75.5,66.8,75.0,mutual_info,LogisticRegression,1
0,LogisticRegression feat: chi2,70.2,76.5,68.8,76.2,chi2,LogisticRegression,1
0,LogisticRegression feat: variance,73.8,78.6,68.4,76.2,variance,LogisticRegression,1
0,KNeighborsClassifier feat: all,63.8,74.0,62.6,73.0,all,KNeighborsClassifier,2
0,KNeighborsClassifier feat: mdi,64.4,73.0,62.4,72.8,mdi,KNeighborsClassifier,2
0,KNeighborsClassifier feat: mda,63.8,74.0,61.0,71.4,mda,KNeighborsClassifier,2
0,KNeighborsClassifier feat: mutual_info,65.2,75.0,61.0,72.4,mutual_info,KNeighborsClassifier,2
0,KNeighborsClassifier feat: chi2,65.8,73.5,67.4,74.4,chi2,KNeighborsClassifier,2
0,KNeighborsClassifier feat: variance,65.2,75.0,63.3,73.6,variance,KNeighborsClassifier,2
0,RandomForest feat: variance,68.5,73.5,63.6,73.4,variance,RandomForest,3
0,RandomForest feat: chi2,74.7,76.5,70.8,76.6,chi2,RandomForest,3
0,RandomForest feat: mutual_info,68.4,75.0,66.1,73.8,mutual_info,RandomForest,3
0,RandomForest feat: all,71.9,78.1,64.9,74.0,all,RandomForest,3
0,RandomForest feat: mdi,68.9,76.0,64.4,72.8,mdi,RandomForest,3
0,RandomForest feat: mda,70.1,74.0,62.1,71.2,mda,RandomForest,3
0,BaggingClassifier feat: all,67.5,74.5,64.9,73.2,all,BaggingClassifier,4
0,BaggingClassifier feat: mdi,68.0,74.5,63.7,72.6,mdi,BaggingClassifier,4
0,BaggingClassifier feat: mda,64.5,71.9,64.4,73.0,mda,BaggingClassifier,4
0,BaggingClassifier feat: mutual_info,67.5,74.5,60.4,71.2,mutual_info,BaggingClassifier,4
0,BaggingClassifier feat: chi2,68.8,74.5,68.3,74.4,chi2,BaggingClassifier,4
0,BaggingClassifier feat: variance,68.4,75.0,64.2,72.8,variance,BaggingClassifier,4
0,GradientBoosting feat: chi2,72.4,74.0,68.6,74.6,chi2,GradientBoosting,5
0,GradientBoosting feat: mutual_info,67.1,72.4,67.4,75.2,mutual_info,GradientBoosting,5
0,GradientBoosting feat: variance,69.6,75.0,67.7,75.2,variance,GradientBoosting,5
0,GradientBoosting feat: mdi,70.6,77.0,64.7,73.4,mdi,GradientBoosting,5
0,GradientBoosting feat: all,69.1,73.5,67.2,74.8,all,GradientBoosting,5
0,GradientBoosting feat: mda,67.5,75.0,67.0,74.0,mda,GradientBoosting,5
0,DecisionTree feat: chi2,69.0,77.0,61.9,72.2,chi2,DecisionTree,6
0,DecisionTree feat: mutual_info,70.9,76.5,63.4,70.0,mutual_info,DecisionTree,6
0,DecisionTree feat: variance,68.0,74.5,65.2,72.2,variance,DecisionTree,6
0,DecisionTree feat: mdi,69.9,77.6,60.9,71.2,mdi,DecisionTree,6
0,DecisionTree feat: all,68.0,74.5,65.2,72.2,all,DecisionTree,6
0,DecisionTree feat: mda,72.7,77.0,67.3,73.2,mda,DecisionTree,6
0,AdaBoost feat: all,66.7,73.0,67.0,74.8,all,AdaBoost,7
0,AdaBoost feat: mdi,66.2,74.5,66.0,74.4,mdi,AdaBoost,7
0,AdaBoost feat: mda,65.3,74.0,65.2,74.6,mda,AdaBoost,7
0,AdaBoost feat: mutual_info,65.8,73.5,67.7,75.2,mutual_info,AdaBoost,7
0,AdaBoost feat: chi2,71.0,77.0,68.6,76.0,chi2,AdaBoost,7
0,AdaBoost feat: variance,66.7,73.0,67.0,74.8,variance,AdaBoost,7
0,SVC feat: variance,72.6,78.1,69.8,77.0,variance,SVC,8
0,SVC feat: chi2,70.5,76.5,71.6,77.0,chi2,SVC,8
0,SVC feat: mutual_info,69.3,76.5,63.6,72.8,mutual_info,SVC,8
0,SVC feat: mdi,73.0,79.6,65.4,73.4,mdi,SVC,8
0,SVC feat: all,73.9,79.1,68.6,76.2,all,SVC,8
0,SVC feat: mda,67.6,76.0,66.3,74.4,mda,SVC,8
0,LGBM feat: all,72.5,78.1,65.1,72.8,all,LGBM,9
0,LGBM feat: mdi,70.6,77.0,68.8,76.2,mdi,LGBM,9
0,LGBM feat: mda,70.4,75.5,67.9,74.8,mda,LGBM,9
0,LGBM feat: mutual_info,69.6,75.5,68.7,75.8,mutual_info,LGBM,9
0,LGBM feat: chi2,71.3,77.0,69.6,75.6,chi2,LGBM,9
0,LGBM feat: variance,73.2,79.1,62.8,72.0,variance,LGBM,9
0,FTTabular feat: chi2,74.5,79.1,72.0,76.8,chi2,FTTabular,10
0,FTTabular feat: all,75.2,80.1,70.8,78.2,all,FTTabular,10
0,FTTabular feat: mdi,73.6,78.1,70.5,75.4,mdi,FTTabular,10
0,FTTabular feat: mda,66.2,75.5,69.6,78.2,mda,FTTabular,10
0,FTTabular feat: mutual_info,68.0,75.5,67.7,75.2,mutual_info,FTTabular,10
0,FTTabular feat: variance,73.3,76.5,73.5,77.2,variance,FTTabular,10
